Some weights of the model checkpoint at allenai/longformer-base-4096 were not used when initializing LongformerModel: ['lm_head.dense.bias', 'lm_head.dense.weight', 'lm_head.decoder.weight', 'lm_head.layer_norm.weight', 'lm_head.bias', 'lm_head.layer_norm.bias']
- This IS expected if you are initializing LongformerModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LongformerModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
ehr loaded
cxr loaded
==> training
running for fusion_type fused_ehr
0
starting val epoch 0
val [0000 / 0050] validation loss: 	2.53743
checkpoint
starting train epoch 0
 epoch [0000 / 0050] [0009/4485] eta: 9 Days 21:8:6         lr: 	1.0000E-05 loss: 	4.10956 loss align 0.0000
 epoch [0000 / 0050] [3909/4485] eta: 0 Days 7:9:34         lr: 	1.0000E-05 loss: 	1.61253 loss align 0.0000
 epoch [0000 / 0050] [4009/4485] eta: 0 Days 7:8:25         lr: 	1.0000E-05 loss: 	1.60681 loss align 0.0000
 epoch [0000 / 0050] [4109/4485] eta: 0 Days 7:7:19         lr: 	1.0000E-05 loss: 	1.60196 loss align 0.0000
 epoch [0000 / 0050] [4209/4485] eta: 0 Days 7:6:16         lr: 	1.0000E-05 loss: 	1.59754 loss align 0.0000
 epoch [0000 / 0050] [4309/4485] eta: 0 Days 7:5:14         lr: 	1.0000E-05 loss: 	1.59065 loss align 0.0000
 epoch [0000 / 0050] [4409/4485] eta: 0 Days 7:4:15         lr: 	1.0000E-05 loss: 	1.58537 loss align 0.0000
1
starting val epoch 1
val [0001 / 0050] validation loss: 	1.49231
checkpoint
starting train epoch 1
 epoch [0001 / 0050] [0009/4485] eta: 0 Days 7:24:10        lr: 	1.0000E-05 loss: 	1.59151 loss align 0.0000
 epoch [0001 / 0050] [0109/4485] eta: 0 Days 7:22:49        lr: 	1.0000E-05 loss: 	1.69749 loss align 0.0000
 epoch [0001 / 0050] [0209/4485] eta: 0 Days 7:21:32        lr: 	1.0000E-05 loss: 	1.43494 loss align 0.0000
 epoch [0001 / 0050] [0309/4485] eta: 0 Days 7:20:18        lr: 	1.0000E-05 loss: 	1.49927 loss align 0.0000
 epoch [0001 / 0050] [0409/4485] eta: 0 Days 7:19:7         lr: 	1.0000E-05 loss: 	1.53214 loss align 0.0000
 epoch [0001 / 0050] [0509/4485] eta: 0 Days 7:17:59        lr: 	1.0000E-05 loss: 	1.47015 loss align 0.0000
 epoch [0001 / 0050] [0609/4485] eta: 0 Days 7:16:56        lr: 	1.0000E-05 loss: 	1.51005 loss align 0.0000
 epoch [0001 / 0050] [0709/4485] eta: 0 Days 7:15:52        lr: 	1.0000E-05 loss: 	1.47330 loss align 0.0000
 epoch [0001 / 0050] [0809/4485] eta: 0 Days 7:14:51        lr: 	1.0000E-05 loss: 	1.51756 loss align 0.0000
 epoch [0001 / 0050] [0909/4485] eta: 0 Days 7:13:52        lr: 	1.0000E-05 loss: 	1.49274 loss align 0.0000
 epoch [0001 / 0050] [1009/4485] eta: 0 Days 7:12:55        lr: 	1.0000E-05 loss: 	1.50400 loss align 0.0000
 epoch [0001 / 0050] [1109/4485] eta: 0 Days 7:12:0         lr: 	1.0000E-05 loss: 	1.48995 loss align 0.0000
 epoch [0001 / 0050] [1209/4485] eta: 0 Days 7:11:6         lr: 	1.0000E-05 loss: 	1.48482 loss align 0.0000
 epoch [0001 / 0050] [1309/4485] eta: 0 Days 7:10:14        lr: 	1.0000E-05 loss: 	1.49227 loss align 0.0000
 epoch [0001 / 0050] [1409/4485] eta: 0 Days 7:9:24         lr: 	1.0000E-05 loss: 	1.48075 loss align 0.0000
 epoch [0001 / 0050] [1509/4485] eta: 0 Days 7:8:35         lr: 	1.0000E-05 loss: 	1.46812 loss align 0.0000
 epoch [0001 / 0050] [1609/4485] eta: 0 Days 7:7:47         lr: 	1.0000E-05 loss: 	1.48071 loss align 0.0000
 epoch [0001 / 0050] [1709/4485] eta: 0 Days 7:7:1          lr: 	1.0000E-05 loss: 	1.50451 loss align 0.0000
 epoch [0001 / 0050] [1809/4485] eta: 0 Days 7:6:18         lr: 	1.0000E-05 loss: 	1.49755 loss align 0.0000
 epoch [0001 / 0050] [1909/4485] eta: 0 Days 7:5:35         lr: 	1.0000E-05 loss: 	1.50018 loss align 0.0000
 epoch [0001 / 0050] [2009/4485] eta: 0 Days 7:4:52         lr: 	1.0000E-05 loss: 	1.49359 loss align 0.0000
 epoch [0001 / 0050] [2109/4485] eta: 0 Days 7:4:10         lr: 	1.0000E-05 loss: 	1.50185 loss align 0.0000
 epoch [0001 / 0050] [2209/4485] eta: 0 Days 7:3:29         lr: 	1.0000E-05 loss: 	1.50935 loss align 0.0000
 epoch [0001 / 0050] [2309/4485] eta: 0 Days 7:2:49         lr: 	1.0000E-05 loss: 	1.53225 loss align 0.0000
 epoch [0001 / 0050] [2409/4485] eta: 0 Days 7:2:9          lr: 	1.0000E-05 loss: 	1.52102 loss align 0.0000
 epoch [0001 / 0050] [2509/4485] eta: 0 Days 7:1:31         lr: 	1.0000E-05 loss: 	1.51779 loss align 0.0000
 epoch [0001 / 0050] [2609/4485] eta: 0 Days 7:0:53         lr: 	1.0000E-05 loss: 	1.52137 loss align 0.0000
 epoch [0001 / 0050] [2709/4485] eta: 0 Days 7:0:17         lr: 	1.0000E-05 loss: 	1.51708 loss align 0.0000
 epoch [0001 / 0050] [2809/4485] eta: 0 Days 6:59:41        lr: 	1.0000E-05 loss: 	1.54033 loss align 0.0000
 epoch [0001 / 0050] [2909/4485] eta: 0 Days 6:59:7         lr: 	1.0000E-05 loss: 	1.53426 loss align 0.0000
 epoch [0001 / 0050] [3009/4485] eta: 0 Days 6:58:32        lr: 	1.0000E-05 loss: 	1.53631 loss align 0.0000
 epoch [0001 / 0050] [3109/4485] eta: 0 Days 6:57:59        lr: 	1.0000E-05 loss: 	1.54552 loss align 0.0000
 epoch [0001 / 0050] [3209/4485] eta: 0 Days 6:57:25        lr: 	1.0000E-05 loss: 	1.54441 loss align 0.0000
 epoch [0001 / 0050] [3309/4485] eta: 0 Days 6:56:53        lr: 	1.0000E-05 loss: 	1.53885 loss align 0.0000
 epoch [0001 / 0050] [3409/4485] eta: 0 Days 6:56:21        lr: 	1.0000E-05 loss: 	1.54318 loss align 0.0000
 epoch [0001 / 0050] [3509/4485] eta: 0 Days 6:55:49        lr: 	1.0000E-05 loss: 	1.54416 loss align 0.0000
 epoch [0001 / 0050] [3609/4485] eta: 0 Days 6:55:18        lr: 	1.0000E-05 loss: 	1.53678 loss align 0.0000
 epoch [0001 / 0050] [3709/4485] eta: 0 Days 6:54:48        lr: 	1.0000E-05 loss: 	1.53615 loss align 0.0000
 epoch [0001 / 0050] [3809/4485] eta: 0 Days 6:54:18        lr: 	1.0000E-05 loss: 	1.53234 loss align 0.0000
 epoch [0001 / 0050] [3909/4485] eta: 0 Days 6:53:48        lr: 	1.0000E-05 loss: 	1.52583 loss align 0.0000
 epoch [0001 / 0050] [4009/4485] eta: 0 Days 6:53:20        lr: 	1.0000E-05 loss: 	1.53169 loss align 0.0000
 epoch [0001 / 0050] [4109/4485] eta: 0 Days 6:52:51        lr: 	1.0000E-05 loss: 	1.53646 loss align 0.0000
 epoch [0001 / 0050] [4209/4485] eta: 0 Days 6:52:23        lr: 	1.0000E-05 loss: 	1.54687 loss align 0.0000
 epoch [0001 / 0050] [4309/4485] eta: 0 Days 6:51:55        lr: 	1.0000E-05 loss: 	1.54007 loss align 0.0000
 epoch [0001 / 0050] [4409/4485] eta: 0 Days 6:51:28        lr: 	1.0000E-05 loss: 	1.55252 loss align 0.0000
2
starting val epoch 2
val [0002 / 0050] validation loss: 	1.58958
checkpoint
starting train epoch 2
 epoch [0002 / 0050] [0009/4485] eta: 0 Days 7:1:17         lr: 	1.0000E-05 loss: 	1.85262 loss align 0.0000
 epoch [0002 / 0050] [0109/4485] eta: 0 Days 7:0:42         lr: 	1.0000E-05 loss: 	1.51379 loss align 0.0000
 epoch [0002 / 0050] [0209/4485] eta: 0 Days 7:0:7          lr: 	1.0000E-05 loss: 	1.60560 loss align 0.0000
 epoch [0002 / 0050] [0309/4485] eta: 0 Days 6:59:34        lr: 	1.0000E-05 loss: 	1.53272 loss align 0.0000
 epoch [0002 / 0050] [0409/4485] eta: 0 Days 6:59:2         lr: 	1.0000E-05 loss: 	1.49003 loss align 0.0000
 epoch [0002 / 0050] [0509/4485] eta: 0 Days 6:58:31        lr: 	1.0000E-05 loss: 	1.48808 loss align 0.0000
 epoch [0002 / 0050] [0609/4485] eta: 0 Days 6:58:0         lr: 	1.0000E-05 loss: 	1.52393 loss align 0.0000
 epoch [0002 / 0050] [0709/4485] eta: 0 Days 6:57:30        lr: 	1.0000E-05 loss: 	1.45447 loss align 0.0000
 epoch [0002 / 0050] [0809/4485] eta: 0 Days 6:57:1         lr: 	1.0000E-05 loss: 	1.50268 loss align 0.0000
 epoch [0002 / 0050] [0909/4485] eta: 0 Days 6:56:32        lr: 	1.0000E-05 loss: 	1.51870 loss align 0.0000
 epoch [0002 / 0050] [1009/4485] eta: 0 Days 6:56:4         lr: 	1.0000E-05 loss: 	1.50921 loss align 0.0000
 epoch [0002 / 0050] [1109/4485] eta: 0 Days 6:55:36        lr: 	1.0000E-05 loss: 	1.49150 loss align 0.0000
 epoch [0002 / 0050] [1209/4485] eta: 0 Days 6:55:8         lr: 	1.0000E-05 loss: 	1.48257 loss align 0.0000
 epoch [0002 / 0050] [1309/4485] eta: 0 Days 6:54:41        lr: 	1.0000E-05 loss: 	1.47320 loss align 0.0000
 epoch [0002 / 0050] [1409/4485] eta: 0 Days 6:54:15        lr: 	1.0000E-05 loss: 	1.44716 loss align 0.0000
 epoch [0002 / 0050] [1509/4485] eta: 0 Days 6:53:48        lr: 	1.0000E-05 loss: 	1.44628 loss align 0.0000
 epoch [0002 / 0050] [1609/4485] eta: 0 Days 6:53:22        lr: 	1.0000E-05 loss: 	1.47089 loss align 0.0000
 epoch [0002 / 0050] [1709/4485] eta: 0 Days 6:52:57        lr: 	1.0000E-05 loss: 	1.48267 loss align 0.0000
 epoch [0002 / 0050] [1809/4485] eta: 0 Days 6:52:31        lr: 	1.0000E-05 loss: 	1.47584 loss align 0.0000
 epoch [0002 / 0050] [1909/4485] eta: 0 Days 6:52:6         lr: 	1.0000E-05 loss: 	1.49966 loss align 0.0000
 epoch [0002 / 0050] [2009/4485] eta: 0 Days 6:51:42        lr: 	1.0000E-05 loss: 	1.49480 loss align 0.0000
 epoch [0002 / 0050] [2109/4485] eta: 0 Days 6:51:17        lr: 	1.0000E-05 loss: 	1.53350 loss align 0.0000
 epoch [0002 / 0050] [2209/4485] eta: 0 Days 6:50:53        lr: 	1.0000E-05 loss: 	1.54016 loss align 0.0000
 epoch [0002 / 0050] [2309/4485] eta: 0 Days 6:50:29        lr: 	1.0000E-05 loss: 	1.52869 loss align 0.0000
 epoch [0002 / 0050] [2409/4485] eta: 0 Days 6:50:5         lr: 	1.0000E-05 loss: 	1.52478 loss align 0.0000
 epoch [0002 / 0050] [2509/4485] eta: 0 Days 6:49:42        lr: 	1.0000E-05 loss: 	1.52344 loss align 0.0000
 epoch [0002 / 0050] [2609/4485] eta: 0 Days 6:49:19        lr: 	1.0000E-05 loss: 	1.51900 loss align 0.0000
 epoch [0002 / 0050] [2709/4485] eta: 0 Days 6:48:56        lr: 	1.0000E-05 loss: 	1.50921 loss align 0.0000
 epoch [0002 / 0050] [2809/4485] eta: 0 Days 6:48:33        lr: 	1.0000E-05 loss: 	1.50160 loss align 0.0000
 epoch [0002 / 0050] [2909/4485] eta: 0 Days 6:48:11        lr: 	1.0000E-05 loss: 	1.50773 loss align 0.0000
 epoch [0002 / 0050] [3009/4485] eta: 0 Days 6:47:48        lr: 	1.0000E-05 loss: 	1.51144 loss align 0.0000
 epoch [0002 / 0050] [3109/4485] eta: 0 Days 6:47:26        lr: 	1.0000E-05 loss: 	1.51206 loss align 0.0000
 epoch [0002 / 0050] [3209/4485] eta: 0 Days 6:47:4         lr: 	1.0000E-05 loss: 	1.51719 loss align 0.0000
 epoch [0002 / 0050] [3309/4485] eta: 0 Days 6:46:42        lr: 	1.0000E-05 loss: 	1.51851 loss align 0.0000
 epoch [0002 / 0050] [3409/4485] eta: 0 Days 6:46:21        lr: 	1.0000E-05 loss: 	1.51376 loss align 0.0000
 epoch [0002 / 0050] [3509/4485] eta: 0 Days 6:45:59        lr: 	1.0000E-05 loss: 	1.51830 loss align 0.0000
 epoch [0002 / 0050] [3609/4485] eta: 0 Days 6:45:38        lr: 	1.0000E-05 loss: 	1.51014 loss align 0.0000
 epoch [0002 / 0050] [3709/4485] eta: 0 Days 6:45:17        lr: 	1.0000E-05 loss: 	1.49564 loss align 0.0000
 epoch [0002 / 0050] [3809/4485] eta: 0 Days 6:44:56        lr: 	1.0000E-05 loss: 	1.51118 loss align 0.0000
 epoch [0002 / 0050] [3909/4485] eta: 0 Days 6:44:35        lr: 	1.0000E-05 loss: 	1.51293 loss align 0.0000
 epoch [0002 / 0050] [4009/4485] eta: 0 Days 6:44:14        lr: 	1.0000E-05 loss: 	1.50393 loss align 0.0000
 epoch [0002 / 0050] [4109/4485] eta: 0 Days 6:43:54        lr: 	1.0000E-05 loss: 	1.50836 loss align 0.0000
 epoch [0002 / 0050] [4209/4485] eta: 0 Days 6:43:33        lr: 	1.0000E-05 loss: 	1.51397 loss align 0.0000
 epoch [0002 / 0050] [4309/4485] eta: 0 Days 6:43:13        lr: 	1.0000E-05 loss: 	1.51776 loss align 0.0000
 epoch [0002 / 0050] [4409/4485] eta: 0 Days 6:42:53        lr: 	1.0000E-05 loss: 	1.50757 loss align 0.0000
3
starting val epoch 3
val [0003 / 0050] validation loss: 	1.36897
checkpoint
starting train epoch 3
 epoch [0003 / 0050] [0009/4485] eta: 0 Days 6:49:20        lr: 	1.0000E-05 loss: 	1.15781 loss align 0.0000
 epoch [0003 / 0050] [0109/4485] eta: 0 Days 6:48:54        lr: 	1.0000E-05 loss: 	1.53381 loss align 0.0000
 epoch [0003 / 0050] [0209/4485] eta: 0 Days 6:48:29        lr: 	1.0000E-05 loss: 	1.31049 loss align 0.0000
 epoch [0003 / 0050] [0309/4485] eta: 0 Days 6:48:5         lr: 	1.0000E-05 loss: 	1.35267 loss align 0.0000
 epoch [0003 / 0050] [0409/4485] eta: 0 Days 6:47:40        lr: 	1.0000E-05 loss: 	1.36033 loss align 0.0000
 epoch [0003 / 0050] [0509/4485] eta: 0 Days 6:47:16        lr: 	1.0000E-05 loss: 	1.40724 loss align 0.0000
 epoch [0003 / 0050] [0609/4485] eta: 0 Days 6:46:53        lr: 	1.0000E-05 loss: 	1.48997 loss align 0.0000
 epoch [0003 / 0050] [0709/4485] eta: 0 Days 6:46:29        lr: 	1.0000E-05 loss: 	1.50155 loss align 0.0000
 epoch [0003 / 0050] [0809/4485] eta: 0 Days 6:46:6         lr: 	1.0000E-05 loss: 	1.49541 loss align 0.0000
 epoch [0003 / 0050] [0909/4485] eta: 0 Days 6:45:43        lr: 	1.0000E-05 loss: 	1.50326 loss align 0.0000
 epoch [0003 / 0050] [1009/4485] eta: 0 Days 6:45:21        lr: 	1.0000E-05 loss: 	1.48369 loss align 0.0000
 epoch [0003 / 0050] [1109/4485] eta: 0 Days 6:44:58        lr: 	1.0000E-05 loss: 	1.44856 loss align 0.0000
 epoch [0003 / 0050] [1209/4485] eta: 0 Days 6:44:36        lr: 	1.0000E-05 loss: 	1.47352 loss align 0.0000
 epoch [0003 / 0050] [1309/4485] eta: 0 Days 6:44:14        lr: 	1.0000E-05 loss: 	1.51996 loss align 0.0000
 epoch [0003 / 0050] [1409/4485] eta: 0 Days 6:43:53        lr: 	1.0000E-05 loss: 	1.51252 loss align 0.0000
 epoch [0003 / 0050] [1509/4485] eta: 0 Days 6:43:31        lr: 	1.0000E-05 loss: 	1.52667 loss align 0.0000
 epoch [0003 / 0050] [1609/4485] eta: 0 Days 6:43:10        lr: 	1.0000E-05 loss: 	1.52546 loss align 0.0000
 epoch [0003 / 0050] [1709/4485] eta: 0 Days 6:42:48        lr: 	1.0000E-05 loss: 	1.52444 loss align 0.0000
 epoch [0003 / 0050] [1809/4485] eta: 0 Days 6:42:27        lr: 	1.0000E-05 loss: 	1.51616 loss align 0.0000
 epoch [0003 / 0050] [1909/4485] eta: 0 Days 6:42:6         lr: 	1.0000E-05 loss: 	1.51395 loss align 0.0000
 epoch [0003 / 0050] [2009/4485] eta: 0 Days 6:41:45        lr: 	1.0000E-05 loss: 	1.51178 loss align 0.0000
 epoch [0003 / 0050] [2109/4485] eta: 0 Days 6:41:25        lr: 	1.0000E-05 loss: 	1.51598 loss align 0.0000
 epoch [0003 / 0050] [2209/4485] eta: 0 Days 6:41:4         lr: 	1.0000E-05 loss: 	1.51625 loss align 0.0000
 epoch [0003 / 0050] [2309/4485] eta: 0 Days 6:40:44        lr: 	1.0000E-05 loss: 	1.50939 loss align 0.0000
 epoch [0003 / 0050] [2409/4485] eta: 0 Days 6:40:23        lr: 	1.0000E-05 loss: 	1.50185 loss align 0.0000
 epoch [0003 / 0050] [2509/4485] eta: 0 Days 6:40:3         lr: 	1.0000E-05 loss: 	1.51507 loss align 0.0000
 epoch [0003 / 0050] [2609/4485] eta: 0 Days 6:39:44        lr: 	1.0000E-05 loss: 	1.50830 loss align 0.0000
 epoch [0003 / 0050] [2709/4485] eta: 0 Days 6:39:25        lr: 	1.0000E-05 loss: 	1.51028 loss align 0.0000
 epoch [0003 / 0050] [2809/4485] eta: 0 Days 6:39:5         lr: 	1.0000E-05 loss: 	1.50647 loss align 0.0000
 epoch [0003 / 0050] [2909/4485] eta: 0 Days 6:38:46        lr: 	1.0000E-05 loss: 	1.49985 loss align 0.0000
 epoch [0003 / 0050] [3009/4485] eta: 0 Days 6:38:26        lr: 	1.0000E-05 loss: 	1.51133 loss align 0.0000
 epoch [0003 / 0050] [3109/4485] eta: 0 Days 6:38:7         lr: 	1.0000E-05 loss: 	1.51002 loss align 0.0000
 epoch [0003 / 0050] [3209/4485] eta: 0 Days 6:37:47        lr: 	1.0000E-05 loss: 	1.50563 loss align 0.0000
 epoch [0003 / 0050] [3309/4485] eta: 0 Days 6:37:28        lr: 	1.0000E-05 loss: 	1.50927 loss align 0.0000
 epoch [0003 / 0050] [3409/4485] eta: 0 Days 6:37:10        lr: 	1.0000E-05 loss: 	1.49928 loss align 0.0000
 epoch [0003 / 0050] [3509/4485] eta: 0 Days 6:36:51        lr: 	1.0000E-05 loss: 	1.50369 loss align 0.0000
 epoch [0003 / 0050] [3609/4485] eta: 0 Days 6:36:33        lr: 	1.0000E-05 loss: 	1.50806 loss align 0.0000
 epoch [0003 / 0050] [3709/4485] eta: 0 Days 6:36:15        lr: 	1.0000E-05 loss: 	1.50976 loss align 0.0000
 epoch [0003 / 0050] [3809/4485] eta: 0 Days 6:35:56        lr: 	1.0000E-05 loss: 	1.50486 loss align 0.0000
 epoch [0003 / 0050] [3909/4485] eta: 0 Days 6:35:38        lr: 	1.0000E-05 loss: 	1.50188 loss align 0.0000
 epoch [0003 / 0050] [4009/4485] eta: 0 Days 6:35:20        lr: 	1.0000E-05 loss: 	1.49292 loss align 0.0000
 epoch [0003 / 0050] [4109/4485] eta: 0 Days 6:35:2         lr: 	1.0000E-05 loss: 	1.49553 loss align 0.0000
 epoch [0003 / 0050] [4209/4485] eta: 0 Days 6:34:44        lr: 	1.0000E-05 loss: 	1.49998 loss align 0.0000
 epoch [0003 / 0050] [4309/4485] eta: 0 Days 6:34:26        lr: 	1.0000E-05 loss: 	1.50003 loss align 0.0000
 epoch [0003 / 0050] [4409/4485] eta: 0 Days 6:34:9         lr: 	1.0000E-05 loss: 	1.50215 loss align 0.0000
4
starting val epoch 4
val [0004 / 0050] validation loss: 	1.51000
starting train epoch 4
 epoch [0004 / 0050] [0009/4485] eta: 0 Days 6:38:19        lr: 	1.0000E-05 loss: 	1.68259 loss align 0.0000
 epoch [0004 / 0050] [0109/4485] eta: 0 Days 6:37:58        lr: 	1.0000E-05 loss: 	1.43428 loss align 0.0000
 epoch [0004 / 0050] [0209/4485] eta: 0 Days 6:37:37        lr: 	1.0000E-05 loss: 	1.35521 loss align 0.0000
 epoch [0004 / 0050] [0309/4485] eta: 0 Days 6:37:17        lr: 	1.0000E-05 loss: 	1.39842 loss align 0.0000
 epoch [0004 / 0050] [0409/4485] eta: 0 Days 6:36:57        lr: 	1.0000E-05 loss: 	1.46427 loss align 0.0000
